SAE.O2B4S2B_PRESENT,Oxygen Sensor Present (Bank 4 Sensor 2),011D,1,29,7,O2,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.PTO_STATUS,Power Take Off (PTO) Status,011E,1,30,0,General,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.RUN_TIME,Run Time Since Engine Start,011F,1,31,0,General,Generic,SAE,3,sec,sec,0,65535,0,65535,1,0,0,0
SAE.MIL_DISTANCE,Distance Traveled With MIL Active,0121,1,33,0,DTC,Generic,SAE,3,miles,km,0,65535,0,65535,1,0,0,0
SAE.FRP_VAC,Fuel Rail Pressure (Relative to Manifold Vacuum),0122,1,34,0,Fuel,Generic,SAE,1,psi,kPa,0,751,0,5177.265,1,0,0,0
SAE.FRP_DIESEL,Fuel Rail Pressure (Diesel),0123,1,35,0,Fuel,Generic,SAE,1,psi,kPa,0,95050.5,0,655350,1,0,0,0
SAE.O2B1S1A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 1),0124,1,36,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S2A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 2),0125,1,37,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S3A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 3),0126,1,38,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S4A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 1 Sensor 4),0127,1,39,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S1A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 1),0128,1,40,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S2A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 2),0129,1,41,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S3A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 3),012A,1,42,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B2S4A_LAMBDA,Wideband Oxygen Sensor Equivalence Ratio (Bank 2 Sensor 4),012B,1,43,0,O2,Generic,SAE,1,,,0,2,0,2,1,0,0,0
SAE.O2B1S1_VOLTS,Wideband Oxygen Sensor Voltage (Bank 1 Sensor 1),0124,1,36,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B1S2_VOLTS,Wideband Oxygen Sensor Voltage (Bank 1 Sensor 2),0125,1,37,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B1S3_VOLTS,Wideband Oxygen Sensor Voltage (Bank 1 Sensor 3),0126,1,38,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B1S4_VOLTS,Wideband Oxygen Sensor Voltage (Bank 1 Sensor 4),0127,1,39,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B2S1_VOLTS,Wideband Oxygen Sensor Voltage (Bank 2 Sensor 1),0128,1,40,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B2S2_VOLTS,Wideband Oxygen Sensor Voltage (Bank 2 Sensor 2),0129,1,41,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B2S3_VOLTS,Wideband Oxygen Sensor Voltage (Bank 2 Sensor 3),012A,1,42,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.O2B2S4_VOLTS,Wideband Oxygen Sensor Voltage (Bank 2 Sensor 4),012B,1,43,1,O2,Generic,SAE,1,V,V,0,8,0,2,1,0,0,0
SAE.EGR_CMDED,Commanded EGR,012C,1,44,0,Emissions,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.EGR_ERROR,EGR Error,012D,1,45,0,Emissions,Generic,SAE,1,%,%,-100,99.2,-100,99.2,1,0,0,0
SAE.EVAP_PURGE,Commanded Evaporative Purge,012E,1,46,0,General,Generic,SAE,1,%,%,0,100,0,100,1,0,0,0
SAE.FUEL_LEVEL,Fuel Level Input,012F,1,47,0,Fuel,Generic,SAE,2,%,%,0,100,0,100,1,0,0,0
SAE.WARM_UPS,Number of Warm-Ups Since DTCs Cleared,0130,1,48,0,DTC,Generic,SAE,3,,,,,,,1,0,0,0
SAE.CLEAR_DIST,Distance Traveled Since DTCs Cleared,0131,1,49,0,DTC,Generic,SAE,3,miles,km,0,40722,0,65535,1,0,0,0
SAE.EVAP_PRESSURE,Evaporative System Vapor Pressure,0132,1,50,0,General,Generic,SAE,1,psi,Pa,-1.2,1.2,-8192,8192,1,0,0,0
